"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Admin\AdminProducts\CreateProduct\CreateProduct.js", "JavaScript", 402, 0, 0, 31, 433
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Cart\Cart.css", "CSS", 0, 60, 0, 5, 65
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Cart\Cart.js", "JavaScript", 88, 0, 0, 4, 92
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Checkout\Checkout.css", "CSS", 0, 108, 2, 7, 117
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Checkout\Checkout.js", "JavaScript", 152, 0, 1, 18, 171
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Forget\Forget.css", "CSS", 0, 28, 0, 0, 28
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Forget\Forget.js", "JavaScript", 51, 0, 0, 3, 54
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Home\Home.css", "CSS", 0, 31, 0, 4, 35
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Home\Home.js", "JavaScript", 59, 0, 1, 13, 73
"e:\Web\Ecommerce-Clothing-Store\src\Containers\LogIn\LogIn.css", "CSS", 0, 88, 1, 9, 98
"e:\Web\Ecommerce-Clothing-Store\src\Containers\LogIn\LogIn.js", "JavaScript", 72, 0, 0, 7, 79
"e:\Web\Ecommerce-Clothing-Store\src\Containers\LoginSignup\LoginSignup.css", "CSS", 0, 48, 0, 0, 48
"e:\Web\Ecommerce-Clothing-Store\src\Containers\LoginSignup\LoginSignup.js", "JavaScript", 41, 0, 0, 10, 51
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Payment\Payment.css", "CSS", 0, 45, 0, 1, 46
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Payment\Payment.js", "JavaScript", 42, 0, 0, 4, 46
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\Products.css", "CSS", 0, 77, 13, 4, 94
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\Products.js", "JavaScript", 196, 0, 5, 16, 217
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\SubProducts\Boys.js", "JavaScript", 148, 0, 5, 9, 162
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\SubProducts\Infants.js", "JavaScript", 148, 0, 5, 9, 162
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\SubProducts\accessory.js", "JavaScript", 138, 0, 5, 9, 152
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\SubProducts\newarrival.js", "JavaScript", 149, 0, 5, 9, 163
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Products\SubProducts\sale.js", "JavaScript", 149, 0, 5, 9, 163
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Signup\Signup.css", "CSS", 0, 89, 1, 8, 98
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Signup\Signup.js", "JavaScript", 107, 0, 0, 3, 110
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Single-Product\SingleProduct.css", "CSS", 0, 139, 5, 26, 170
"e:\Web\Ecommerce-Clothing-Store\src\Containers\Single-Product\SingleProduct.js", "JavaScript", 141, 0, 0, 15, 156
"e:\Web\Ecommerce-Clothing-Store\src\Containers\UserDetails\EachOrder\EachOrder.css", "CSS", 0, 61, 0, 5, 66
"e:\Web\Ecommerce-Clothing-Store\src\Containers\UserDetails\EachOrder\EachOrder.js", "JavaScript", 111, 0, 0, 9, 120
